userId,cp_content_id,cp_name,curr_play_time_min,content_series_id,episode_id,playtime,content_series_name,content_category,streams_flag_final,content_season_id,playablecontent_ty,duration_secs,content_t,event_type,user_session_id,playablecontent_epinum,total_play_time_sec,playablecontent_tvsid,playablecontent_sid,episode_number,content_content_type,content_id,play_session_id,day
RP-fDpjDkSgXPp20A0,cac17aec-e55a-4f56-8ea0-b822b58a6fd3,HOICHOI,0.0,HOICHOI_TVSHOW_28678218-6054-49ae-b848-acd67c52530d,,0.16425,Shakha Proshakha,VOD,play_start,HOICHOI_TVSHOW_28678218-6054-49ae-b848-acd67c52530d_SEASON_1,EPISODE,666.0,⁠Bongshoporichoy,play_session_end,5348699b-3ea8-48b1-b6cd-3a0744d04ea7-1772018877567,11.0,9.855,HOICHOI_TVSHOW_28678218-6054-49ae-b848-acd67c52530d,HOICHOI_TVSHOW_28678218-6054-49ae-b848-acd67c52530d_SEASON_1,11.0,EPISODE,HOICHOI_EPISODE_cac17aec-e55a-4f56-8ea0-b822b58a6fd3,4be1033c-ac30-47aa-ad09-b641a92bde56,2026-02-25
rQmlSMrBG97vbrIbP0,AFTERBURNY2025M,LIONSGATEPLAY,0.0,,,0.6223500000000001,,VOD,play_start,,MOVIE,6109.0,Afterburn,play_pause,183abe55-42c9-4f0a-897b-ad3d1118fa57-1772036543003,,31.867,,,,MOVIE,LIONSGATEPLAY_MOVIE_AFTERBURNY2025M,7f53257c-c807-4f52-93db-efc28be99aac,2026-02-25
CBZd6sl74Q2rYMWTy0,DEADLOCKY2021MHI,LIONSGATEPLAY,0.0,,,27.1734,,VOD,play_start,,MOVIE,5529.0,Deadlock - Hindi,player_log,d36142b3-8cdd-4f81-8490-ebc360b05a42-1772042454426,,1629.562,,,,MOVIE,LIONSGATEPLAY_MOVIE_DEADLOCKY2021MHI,e0b9c032-0c13-4be8-9cac-3484bf616a5a,2026-02-25
YMBj1iCPPvOx6szFS0,amzn1.dv.gti.1ea1cc64-7fbe-46ff-8d25-9ef71f014cc5,MINITV,0.0,,,0.6639166666666667,,VOD,play_start,,MOVIE,7733.0,Ishq Vishk,frame_dropped,414a8dc1-5853-4975-a66a-8f28f8b36ef7-1772006783424,,39.835,,,,MOVIE,MINITV_MOVIE_amzn1.dv.gti.1ea1cc64-7fbe-46ff-8d25-9ef71f014cc5,3f022c52-540d-476d-8345-84370f88350b,2026-02-25
AglgpU42wYviLwB8t0,1000014618,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000084,,2.60165,Taarak Mehta Ka Ooltah Chashmah,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000084_SEASON_10,EPISODE,1196.0,Taarak Mehta Ka Ooltah Chashmah ‚Äì The Ladies' Party,player_log,49e98eb1-4c0a-4a61-90ab-ba72a031080e-1772004952908,958.0,156.099,SONYLIV_VOD_TVSHOW_1700000084,SONYLIV_VOD_TVSHOW_1700000084_SEASON_10,958.0,EPISODE,SONYLIV_VOD_EPISODE_1000014618,7e7cda9b-dab5-4207-b2bc-37ff54383ed2,2026-02-25
AQ9_7B8JW2V7X9b6g0,1000014735,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000084,,0.3156333333333334,Taarak Mehta Ka Ooltah Chashmah,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000084_SEASON_2,EPISODE,1166.0,Taarak Mehta Ka Ooltah Chashmah – Jethalal Misinterpreted The Situation,player_seek,0f1c3f54-fb10-4f38-9506-a13249bcde3a-1772023454505,190.0,18.571,SONYLIV_VOD_TVSHOW_1700000084,SONYLIV_VOD_TVSHOW_1700000084_SEASON_2,190.0,EPISODE,SONYLIV_VOD_EPISODE_1000014735,ca25979d-8e21-4966-8ea9-94709c046252,2026-02-25
XxqecZN3FjtxyxW_50,1000036822,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000084,,19.6713,Taarak Mehta Ka Ooltah Chashmah,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000084_SEASON_7,EPISODE,1227.0,Taarak Mehta Ka Ooltah Chashmah – The Mango Stall,player_log,066f92f5-e717-47e8-aa09-6df4b92ada5b-1772004685757,609.0,1180.278,SONYLIV_VOD_TVSHOW_1700000084,SONYLIV_VOD_TVSHOW_1700000084_SEASON_7,609.0,EPISODE,SONYLIV_VOD_EPISODE_1000036822,385d70c2-a31d-48ab-8747-224641a9c293,2026-02-25
d3Us8peqQxDjK2M3r0,1000037065,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000084,,19.4395,Taarak Mehta Ka Ooltah Chashmah,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000084_SEASON_13,EPISODE,1189.0,Taarak Mehta Ka Ooltah Chashmah – An Envelope Of Cash,player_log,42f0f5e3-50a4-4cf0-a9f9-931bfeb8f4dc-1772032757517,1270.0,1166.37,SONYLIV_VOD_TVSHOW_1700000084,SONYLIV_VOD_TVSHOW_1700000084_SEASON_13,1270.0,EPISODE,SONYLIV_VOD_EPISODE_1000037065,620c4663-3bba-4b8d-ad06-2ec024c4fab9,2026-02-25
1qXj8AvgT4Kqo6qIn0,1090496113,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1790006730,,31.734899999999996,Kuttram Purindhavan: The Guilty One,VOD,play_start,SONYLIV_VOD_TVSHOW_1790006730_SEASON_1,EPISODE,2075.0,What Happened Last Night?,player_log,10e2f86d-e5b8-4526-9309-b57dcfc93b3c-1772036976590,2.0,1903.83,SONYLIV_VOD_TVSHOW_1790006730,SONYLIV_VOD_TVSHOW_1790006730_SEASON_1,2.0,EPISODE,SONYLIV_VOD_EPISODE_1090496113,fb58dc16-e278-467f-ad0b-00838bc58fd7,2026-02-25
i-SlrpfwqSNRpEQc50,1090504580,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1790006756,,0.18866666666666668,Wheel Of Fortune,VOD,play_start,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,EPISODE,2974.0,"Sahil, Ira And Leon Spin The Wheel",app_generated_action,d70b8a1b-13eb-4fdf-affd-015007cd6c0f-1771998284485,19.0,10.327,SONYLIV_VOD_TVSHOW_1790006756,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,19.0,EPISODE,SONYLIV_VOD_EPISODE_1090504580,aaede1cc-fb48-4dd0-a917-195eab980346,2026-02-25
ZYsQH_mLenkNrikQ00,1090504580,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1790006756,,34.91826666666667,Wheel Of Fortune,VOD,play_start,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,EPISODE,2974.0,"Sahil, Ira And Leon Spin The Wheel",player_log,8fd4f632-2c99-4bb0-b1cd-8a5ad2e3d763-1772039690975,19.0,2082.462,SONYLIV_VOD_TVSHOW_1790006756,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,19.0,EPISODE,SONYLIV_VOD_EPISODE_1090504580,df57800b-a493-464c-a1ee-0994c509e474,2026-02-25
3kT54Qvp3bYTe2cEZ0,1090504580,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1790006756,,0.20741666666666667,Wheel Of Fortune,VOD,play_start,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,EPISODE,2974.0,"Sahil, Ira And Leon Spin The Wheel",frame_dropped,65b6982a-20cb-49d8-abc1-3cf58550236f-1772008681624,19.0,11.335,SONYLIV_VOD_TVSHOW_1790006756,SONYLIV_VOD_TVSHOW_1790006756_SEASON_1,19.0,EPISODE,SONYLIV_VOD_EPISODE_1090504580,d6565ee7-51c0-4d5c-a497-67417d13901b,2026-02-25
